X_Coord_SMDA,Y_Coord_SMDA,Porosity_Percentage,Shc_Percentage,Gross_Thickness_m,TOC_weight_pct
2469270.18,5805000.818,13.0,65.0,16.0,4.0
2452416.483,5709674.709,8.0,70.0,38.0,3.7
2540833.379,5789769.16,12.0,80.0,40.0,5.0
2512590.709,5843225.009,8.0,70.0,45.0,4.0
2535563.302,5724016.919,12.0,80.0,46.0,6.0
2551551.834,5711305.925,9.0,75.0,53.0,5.0
2525692.903,5785203.119,7.7,70.0,28.0,6.0
2561895.646,5691926.476,9.0,65.0,22.0,5.0
2461516.315,5854465.386,12.0,75.0,30.0,5.5
2541162.19,5711462.95,10.0,80.0,49.0,3.8
2554655.071,5698793.011,7.0,67.0,47.0,5.5
2515317.144,5846643.216,11.0,78.0,50.0,5.5
2520337.67,5760665.33,14.0,81.0,32.0,5.3
